album,artist
100% Sahara Guitar ,Etran de L’Aïr
3AM (LA LA LA) ,Confidence Man
3rd Shift ,J.U.S.
A Dancefloor in Ndola ,Kampfire Presents
A Firmer Hand ,Hamish Hawk
A LA SALA ,Khruangbin
A Love You Cannot Shake ,Fashion Club
Acadia ,Yasmin Williams
Acelero ,Crizin Da ZO
Across the Tracks ,"Boldly James, Conductor Williams"
Acts of Faith ,SAULT
Afrika Alien ,Pa Salieu
All Hell ,Los Campesinos!
Almighty So 2 ,Chief Keef
Amazing Carnaval ,Lucie Antunes
american dream ,21 Savage
Antes de Amancer ,Savan
"Anyway, Anyway, Anyway ",Wasted Space
As Grande As ,Grande Mahogany
Baby I’m the Wolf ,Ha Vay
Bad Cameo ,"James Blake, Lil Yachty"
Bailódromo ,Los Cubatas Pt 1
Bando Stone and the New World ,Childish Gambino
Bantu Spaceship ,Bantu Spaceship
Below a Massive Dark Land ,Naima Bock
Below the Waste ,Goat Girl
BETA ,Peter Cat Recordng Co
Big For You ,Zsela
Big Sigh ,Marika Hackman
Big Swimmer ,King Hannah
Big Time Nothing ,St. Vincent
Born in the Wild ,Tems
Box for Buddy ,This is Lorelai
brat ,Charli XCX
Bright Future ,Adrianne Lenker
Britpop ,A.G. Cook
Butu ,Kokoko!
Canary ,Neva Dinova
Caracoles ,Orquesta Akokan
Children of the Moon ,State Faults
Chloe Qisha ,Chloe Qisha
CHROMAKOPIA ,"Tyler, the Creator"
Closer ,Maria Chiara Argió
Country ,Medium Build
Cowboy Carter ,Beyoncé
Crash ,Kehlani
Critterland ,Willi Carlisle
"Dance, No One’s Watching ",Ezra Collective
DANZAAA ,Mitú
Dar Disku ,Dar Disku
Dark Times ,Vince Staples
Deeper Well ,Kacey Musgraves
Diamond Jubilee ,Cindy Lee
Dunya ,Mustafa
Dying ,The Narcotix
Early twenties ,Cat Burns
Easy Being a Winner ,Silverbacks
Eggsistentialism ,The Lovely Eggs
Electric Bouquet ,Anna McClellan
Endless ,Nala Sinephro
Escaper ,Sarah Kinsley
Evergreen ,Soccer Mommy
Evil Does Not Exist ,Eiko Ishibashi
False Comforts ,Mark Blansjar
Fine Art ,KNEECAP
For Your Consideration ,Empress Of
Formula OneDa ,OneDa
Frog in Boiling Water ,DIIV
From the Fire ,Audrey Powne
Fruit Flies ,"The Army, The Navy"
Future Pasta ,Konkolo Orchestra
GABOS ,Cousin Stizz
GNX ,Kendrick Lamar
Goat ,Goat
God Said No ,Omar Apollo
Going Through It ,Eliza McLamb
Golden Age of Self Snitching ,Revival Season
Healing Exhaustion ,Reinel Baloke
Heat ,"SG Lewis, Trove Lo"
HEIS ,Rema
hella (˃̣̣̥╭╮˂̣̣̥) ✧ ♡ ‧º·˚: ,1999 Write The Future
Here in the Future ,Jessica Pratt
Hit Me Hard and Soft ,Billie Eilish
Home ,A Song For You
Hotel La Rut ,Joanna Wang
Hovvdy ,Hovvdy
How to Make a Master Peace ,Master Peace
Humble As the Sun ,Bob Vylan
Hyperdrama ,Justice
Hysterical Strength ,DEADLETTER
I DREAMT I FOUND A RED RUBY ,Francesca Wexler
I Got Heaven ,Mannequin Pussy
I Hear You ,Peggy Gou
I’m Doing it Again ,Girl in Red
#REF!,
If I Could Sing ,Kirin J Callinan
"If it Sucks, Turn it Up ",Dune Rats
II ,Kiasmos
In Lieu of Flowers ,Aaron West and the Roaring Twenties
Into the Blue ,Aaron Frazer
ISANO ,Kid Cudi
It’s Us Vol 1 ,Concrete Boys
Jour 1956 ,"Hildegard, Helena Deland, Ouri"
Keep Me on Your Mind/See You Free ,Bonny Light Horseman
Kids Go Down ,Chinese American Bear
Kinesia ,Nicola Cruz
LAFANDAR ,Heems
Let’s Walk ,Madeline Peyroux
Letter to Self ,SPRINTS
Light Sleeper ,Bess Atwell
Like a Ribbon ,John Glacier
#REF!,
Love Heart Cheat Code ,Hiatus Kaiyote
"Lover, Other ",Rosie Lowe
Luireach ,Landless
Lungu Boy ,Asake
Macro ,Brijean
MADRA ,NewDad
Maestro Espada ,Maestro Espada
Maisha ,Zawose Queens
MAYDAY ,Becca Hatch
MEGAN: ACT II ,Megan Thee Stallion
Metamorphosis Complete ,Infinity Song
Mika’s Laundry ,Mike Champion
Milton + Esperanza ,"Milton Nascimiento, Esperanza Spalding"
Mio Latinoamérica Sufre ,Meridian Brothers
Mirror Starts Moving Without Me ,Pom Pom Squad
Model ,Wallows
Mon sang ,Clara Luciani
Mother ,Logic1000
Mucho Mistrust ,Fake Fruit
Music is the Answer ,SHEBAD
Musow Danse ,Les Amazones d’Afrique
"My Light, My Destroyer ",Cassandra Jenkins
Myopia ,Nicole Miglis
News of the Universe ,La Luz
Night Rein ,Arooj Aftab
Night Rein ,Arooj Aftab
No Flowers Grow in Cement Gardens ,a lazarus soul
NO HANDS ,Joey Valence & Brae
No More Water: The Gospel of James Baldwin ,Meshell Ndegeocello
No Name ,Jack White
Normal Sounds ,Lia Kohl
Nothing Will Disappear ,Kinkajous
Odyssey ,Nubya Garcia
One Million Love Songs ,Bnny
Only God Was Above Us ,Vampire Weekend
Orquídeas ,Kali Uchis
Pacific Highway Music ,Skeggs
Paradise Pop 1.0 ,Christian Lee Hudson
Paradise State of Mind ,Foster the People
Passage du Desir ,"Johnny Blue Skies, Sturgill Simpson"
Patterns in Repeat ,Laura Marling
People Who Aren’t These Anymore ,Future Islands
Perfectly Blue ,RIP Swirl
Persona ,half.alive
Phantasy & Reality ,"Lynn Avery, Cole Pulice"
#REF!,
Piedras I ,Nicholas Jaar
Poetry ,Dehd
Pointy Heights ,Fousheé
POSTINDUSTRIAL HOMETOWN BLUES ,BIG SPECIAL
PRATTS & PAIN ,Royel Otis
Prelude to Ecstacy ,The Last Dinner Party
Pulsar ,L’Impertraice
QWERTY II ,Saya Gray
Realisitic IX ,Belong
Redd Kross ,Redd Kross
#REF!,
"Right Place, Wrong Person ",RM
RITUAL ,Jon Hopkins
Rituals ,Ishmael Ensemble
Romance ,Fontaines D.C.
Rong Weickness ,Fievel is Glauque
Roots Rock Rebels: When Punk Met Reggae 1975,1982
Sadness Sets Me Free – Gruff Rhys,
Safario ,Safario
Scratch ,Teddy’s Hit
#REF!,
Sentir Que no Sabes ,Mabe Fatti
Sexed & Sexual ,Sans Soucis
Sit Tight ,exmagician
Small Medium Large ,SML
Snow as a Metaphor for Death ,SENTRIES
Song Symbiosis ,Shugo Tokumaru
Sorcs 80 ,Osees
Souvenir ,alici
Speak to Me ,Julian Lage
STARFACE ,Lava La Rue
Sula Bassana ,"20syl, Christophe Pansani"
Sun Without Heat ,Leyla McCalla
Tangk ,Idles
That’s So Me ,Okay Kaya
The Death Of Summer & Other Promises ,Etta Marcus
The Drive Home ,Samar Cyn
The First Exit ,Tramhaus
The Great Impersonator ,Halsey
The Jester ,Wallice
The Lucky One ,Caroline Says
The Past Is Still Alive ,Hurray for the Riff Raff
"The Pilgrim, Their Gold, and the King of my Decrepit Mountain ",Tapir!
The Road to Hell is Paved with Good Intentions ,Vegyn
The Trials of Knowing ,Callum Orr
This Could be Texas ,English Teacher
This Wasn’t Meant For You Anyways ,Lola Young
Tiger’s Blood ,Waxahatchee
Timeless ,Kaytranada
TODO ESTÁ BIEN ,Jotaerre
Trail of Flowers ,Sierra Ferrell
Triple Seven ,Wishy
Twice Around the Sun ,Ugly
Two Shell ,Two Shell
Two Star & The Dream Police ,Mk.gee
Tyla ,Tyla
Unbound ,Bizhiki
Verbathim ,Nemahsis
Visions out ofLimelight ,RJD2
Viva Hinds ,Hinds
Wall of Eyes ,the Smile
Wanna Quit All The Time ,Faye Webster
Watch Me Drive Them Dogs Wild ,Merce Lemon
We Have Dozens of Titles ,Gastr Del Sol
Weezer’s Blue Album ,Trashdog
What a Devastating Turn of Events ,Rache Chinouririi
What A Relief ,Katie Gavin
What Now ,Brittany Howard
When you wake up ,Molina
"Where we’ve been, where we go from here ",Friko
Where’s My Utopia? ,Yard Act
Why Lawd? ,NxWorries
Windswept ,Photay
Woodland ,Gillian Welch
WOOF. ,Fat Dog
World of Work ,Clarissa Connolley
World Wide Whack ,Tierra Whack
XONGZ ,bricknasty
Y’Y ,Amari Freitas
"Yes, And? ",Ariana Grande
Zorb ,Sycco