title,artist
Permit Riddim - Mixed,"KITCHSELEKTOR, Pobdon"
Bloom,"Maribou State, Gaidaa"
Ama kora,"Lamomali, -M-, Fatoumata Diawara, Toumani Diabaté, Balla Diabaté"
SEQUÊNCIA STRIPTEASE,"PEDRO SAMPAI, Mc Gw, Mc Debby, Mc Talibã"
Ma Tnsani (Yalla Habibi),"Vanco, AYA"
EoO,Bad Bunny
What Else Is There? ,"Röyksopp, Fever Ray, trentemøller"
Part II,"Anish Kumar, Hagop Tchaparian"
Fallen Cloud,Austra
Cradle The Pain,Morgan Nagler
Forever Lover (永远的爱人),Chinese American Bear
Bovine Excision,Samia
NEEDY,"Internet Girl, Lancey Foux"
NDA,"Zelooperz, Paris Texas"
Backseat,Balu Brigada
All My Friends,Barry Can't Swim
"Sally, When The Wine Runs Out",ROLE MODEL
Dexion,Floating Points
WHERE IS MY HUSBAND!,RAYE
S.N.C.,DARKSIDE
Mio Cristo Piange Diamanti,ROSALÍA
Nosebleeds,Doechii
long life,Duval Timothy
obvious,Oklou
My Crush,"DESTIINO, Yuksek"
A BUG'S LIFE,Sudan Archives
Forever salty,Bassvictim
Skin On Skin,jasemine.4.t
NIAMOS! (Chandrilian Club Mix),"Nicholas Britell, Brandon Roberts"
Magic What We Do,"Ludwig Goransson, Sinners Movie, Miles Caton"
Her Light,Yazz Ahmed
10 WAYS (TO LOSE A CROWN),Saya Gray
HIGHJACK (right back),"Alok, Laszewo, A$AP Rocky"
Clean Heart,Perfume Genius
A Gateway,Faraway Monalisa
Compuphonic,"Sound Support, Lorenz Rhode"
Slinky - IWF Edit,Dj Streaks
Catchaman,Adapater
What's Between Us,Kaitlyn Aurelia Smith
Oops...,Two Shell
Flood,"Little Simz, Obongjayar, Moonchild Sanelly"
Eden,Avalon Emerson
malibU,rusowsky
Una Cumbia en Kinshasa,"Ale Hop, Titi Bakorta"
Appalachia,glaive
Shy,Reneé Rapp
IMPOSTOR,CA7RIEL & Paco Amoroso
Husbands,Geese
Grand Prix,Nala Sinephro
Perfidia Beverly Hills,Jonny Greenwood